"","x"
"1",33
"2",46
"3",28
"4",20
"5",30
"6",17
"7",15
"8",0
"9",15
"10",27
"11",18
"12",10
"13",26
"14",24
"15",14
"16",30
"17",16
"18",65
"19",6
"20",27
"21",11
"22",25
"23",22
"24",0
"25",86
"26",24
"27",33
"28",22
"29",18
"30",52
"31",26
"32",0
"33",9
"34",33
"35",58
"36",28
"37",35
"38",8
"39",47
"40",6
"41",9
"42",35
"43",18
"44",17
"45",25
"46",16
"47",23
"48",36
"49",0
"50",19
"51",33
"52",89
"53",11
"54",0
"55",52
"56",45
"57",35
"58",29
"59",112
"60",19
"61",37
"62",19
"63",47
"64",19
"65",60
"66",55
"67",27
"68",30
"69",33
"70",59
"71",22
"72",43
"73",15
"74",15
"75",10
"76",56
"77",32
"78",15
"79",8
"80",45
"81",26
"82",50
"83",59
"84",28
"85",51
"86",37
"87",28
"88",24
"89",11
"90",15
"91",32
"92",82
"93",75
"94",42
"95",12
"96",40
"97",98
"98",24
"99",23
"100",17
"101",13
"102",56
"103",19
"104",25
"105",16
"106",46
"107",231
"108",21
"109",12
"110",71
"111",23
"112",54
"113",30
"114",16
"115",17
"116",19
"117",16
"118",23
"119",31
"120",39
"121",33
"122",51
"123",46
"124",19
"125",33
"126",39
"127",118
"128",97
"129",30
"130",21
"131",53
"132",37
"133",25
"134",42
"135",28
"136",41
"137",16
"138",0
"139",17
"140",31
"141",24
"142",0
"143",17
"144",27
"145",24
"146",15
"147",21
"148",26
"149",17
"150",37
"151",0
"152",26
"153",8
"154",33
"155",22
"156",24
"157",18
"158",54
"159",62
"160",8
"161",56
"162",34
"163",23
"164",0
"165",14
"166",67
"167",18
"168",68
"169",38
"170",1
"171",37
"172",20
"173",23
"174",36
"175",20
"176",14
"177",51
"178",28
"179",49
"180",44
"181",37
"182",19
"183",53
"184",57
"185",9
"186",49
"187",31
"188",18
"189",0
"190",34
"191",24
"192",0
"193",14
"194",110
"195",13
"196",0
"197",22
"198",17
"199",15
"200",32
"201",19
"202",50
"203",35
"204",23
"205",20
"206",10
"207",44
"208",0
"209",36
"210",36
"211",66
"212",19
"213",28
"214",67
"215",7
"216",82
"217",35
"218",21
"219",11
"220",98
"221",15
"222",29
"223",88
"224",16
"225",32
"226",54
"227",23
"228",0
"229",31
"230",20
"231",56
"232",20
"233",28
"234",16
"235",22
"236",23
"237",15
"238",58
"239",29
"240",26
"241",102
"242",52
"243",10
"244",13
"245",56
"246",6
"247",9
"248",13
"249",21
"250",22
"251",30
"252",49
"253",15
"254",140
"255",32
"256",36
"257",24
"258",6
"259",35
"260",66
"261",14
"262",134
"263",17
"264",5
"265",58
"266",5
"267",41
"268",13
"269",25
"270",28
"271",32
"272",13
"273",49
"274",7
"275",44
"276",27
"277",21
"278",17
"279",12
"280",97
"281",24
"282",24
"283",24
"284",11
"285",14
"286",24
"287",47
"288",22
"289",46
"290",21
"291",0
"292",29
"293",69
"294",25
"295",67
"296",25
"297",27
"298",21
"299",11
"300",46
"301",47
"302",17
"303",43
"304",45
"305",7
"306",0
"307",54
"308",19
"309",11
"310",10
"311",72
"312",14
"313",19
"314",11
"315",8
"316",57
"317",27
"318",22
"319",13
"320",15
"321",78
"322",5
"323",43
"324",16
"325",52
"326",24
"327",52
"328",26
"329",4
"330",9
"331",38
"332",16
"333",31
"334",57
"335",14
"336",96
"337",75
"338",22
"339",28
"340",14
"341",61
"342",21
"343",12
"344",0
"345",7
"346",45
"347",0
"348",9
"349",63
"350",0
"351",30
"352",25
"353",96
"354",33
"355",84
"356",13
"357",8
"358",33
"359",20
"360",0
"361",96
"362",12
"363",20
"364",8
"365",10
"366",18
"367",18
"368",31
"369",58
