"","x"
"1",33
"2",46
"3",28
"4",20
"5",30
"6",17
"7",15
"8",15
"9",27
"10",18
"11",26
"12",24
"13",30
"14",16
"15",65
"16",27
"17",25
"18",22
"19",86
"20",24
"21",33
"22",22
"23",18
"24",52
"25",26
"26",33
"27",58
"28",28
"29",35
"30",47
"31",35
"32",18
"33",17
"34",25
"35",16
"36",23
"37",36
"38",19
"39",33
"40",89
"41",52
"42",45
"43",35
"44",29
"45",112
"46",19
"47",37
"48",19
"49",47
"50",19
"51",60
"52",55
"53",27
"54",30
"55",33
"56",59
"57",22
"58",43
"59",15
"60",15
"61",56
"62",32
"63",15
"64",45
"65",26
"66",50
"67",59
"68",28
"69",51
"70",37
"71",28
"72",24
"73",15
"74",32
"75",82
"76",75
"77",42
"78",40
"79",98
"80",24
"81",23
"82",17
"83",56
"84",19
"85",25
"86",16
"87",46
"88",231
"89",21
"90",71
"91",23
"92",54
"93",30
"94",16
"95",17
"96",19
"97",16
"98",23
"99",31
"100",39
"101",33
"102",51
"103",46
"104",19
"105",33
"106",39
"107",118
"108",97
"109",30
"110",21
"111",53
"112",37
"113",25
"114",42
"115",28
"116",41
"117",16
"118",17
"119",31
"120",24
"121",17
"122",27
"123",24
"124",15
"125",21
"126",26
"127",17
"128",37
"129",26
"130",33
"131",22
"132",24
"133",18
"134",54
"135",62
"136",56
"137",34
"138",23
"139",67
"140",18
"141",68
"142",38
"143",37
"144",20
"145",23
"146",36
"147",20
"148",51
"149",28
"150",49
"151",44
"152",37
"153",19
"154",53
"155",57
"156",49
"157",31
"158",18
"159",34
"160",24
"161",110
"162",22
"163",17
"164",15
"165",32
"166",19
"167",50
"168",35
"169",23
"170",20
"171",44
"172",36
"173",36
"174",66
"175",19
"176",28
"177",67
"178",82
"179",35
"180",21
"181",98
"182",15
"183",29
"184",88
"185",16
"186",32
"187",54
"188",23
"189",31
"190",20
"191",56
"192",20
"193",28
"194",16
"195",22
"196",23
"197",15
"198",58
"199",29
"200",26
"201",102
"202",52
"203",56
"204",21
"205",22
"206",30
"207",49
"208",15
"209",140
"210",32
"211",36
"212",24
"213",35
"214",66
"215",134
"216",17
"217",58
"218",41
"219",25
"220",28
"221",32
"222",49
"223",44
"224",27
"225",21
"226",17
"227",97
"228",24
"229",24
"230",24
"231",24
"232",47
"233",22
"234",46
"235",21
"236",29
"237",69
"238",25
"239",67
"240",25
"241",27
"242",21
"243",46
"244",47
"245",17
"246",43
"247",45
"248",54
"249",19
"250",72
"251",19
"252",57
"253",27
"254",22
"255",15
"256",78
"257",43
"258",16
"259",52
"260",24
"261",52
"262",26
"263",38
"264",16
"265",31
"266",57
"267",96
"268",75
"269",22
"270",28
"271",61
"272",21
"273",45
"274",63
"275",30
"276",25
"277",96
"278",33
"279",84
"280",33
"281",20
"282",96
"283",20
"284",18
"285",18
"286",31
"287",58
"288",49
"289",44
"290",33
"291",20
"292",27
"293",32
"294",55
"295",43
"296",29
"297",104
"298",20
"299",36
"300",30
"301",105
"302",16
"303",22
"304",54
"305",22
"306",22
"307",25
"308",44
"309",28
"310",38
"311",29
"312",17
"313",23
"314",21
"315",44
"316",28
"317",16
"318",21
"319",37
"320",52
"321",29
"322",31
"323",67
"324",17
"325",22
"326",54
"327",41
"328",30
"329",19
"330",16
"331",55
"332",19
"333",17
"334",23
"335",16
"336",16
"337",32
"338",53
"339",24
"340",76
"341",50
"342",45
"343",29
"344",22
"345",28
"346",25
"347",17
"348",15
"349",22
"350",97
"351",27
"352",37
"353",25
"354",18
"355",28
"356",48
"357",17
"358",18
"359",19
"360",21
"361",41
"362",40
"363",15
"364",25
"365",40
"366",58
"367",24
"368",19
"369",15
